Date,USD3MTD156N
9/9/2011,0.33794
9/12/2011,0.34289
9/13/2011,0.34711
9/14/2011,0.34911
9/15/2011,0.35022
9/16/2011,0.35133
9/19/2011,0.3525
9/20/2011,0.355
9/21/2011,0.35556
9/22/2011,0.35806
9/23/2011,0.36022
9/26/2011,0.36278
9/27/2011,0.36522
9/28/2011,0.36856
9/29/2011,0.37211
9/30/2011,0.37433
10/3/2011,0.37761
10/4/2011,0.38094
10/5/2011,0.38361
10/6/2011,0.38778
10/7/2011,0.39111
10/10/2011,0.39417
10/11/2011,0.3975
10/12/2011,0.40083
10/13/2011,0.40306
10/14/2011,0.40472
10/17/2011,0.40583
10/18/2011,0.40917
10/19/2011,0.41167
10/20/2011,0.41556
10/21/2011,0.41833
10/24/2011,0.42028
10/25/2011,0.42222
10/26/2011,0.42472
10/27/2011,0.42806
10/28/2011,0.42944
10/31/2011,0.42944
11/1/2011,0.43167
11/2/2011,0.43306
11/3/2011,0.435
11/4/2011,0.4375
11/7/2011,0.44139
11/8/2011,0.44417
11/9/2011,0.44917
11/10/2011,0.45278
11/11/2011,0.45722
11/14/2011,0.46056
11/15/2011,0.46556
11/16/2011,0.47111
11/17/2011,0.47944
11/18/2011,0.48778
11/21/2011,0.495
11/22/2011,0.50028
11/23/2011,0.50611
11/24/2011,0.51167
11/25/2011,0.51806
11/28/2011,0.52306
11/29/2011,0.52694
11/30/2011,0.52889
12/1/2011,0.52722
12/2/2011,0.52833
12/5/2011,0.5339
12/6/2011,0.53775
12/7/2011,0.54
12/8/2011,0.54
12/9/2011,0.54175
12/12/2011,0.5435
12/13/2011,0.54625
12/14/2011,0.55505
12/15/2011,0.55915
12/16/2011,0.56315
12/19/2011,0.56695
12/20/2011,0.56975
12/21/2011,0.57125
12/22/2011,0.57375
12/23/2011,0.57575
12/26/2011,.
12/27/2011,.
12/28/2011,0.57925
12/29/2011,0.581
12/30/2011,0.581
1/2/2012,.
1/3/2012,0.5825
1/4/2012,0.5825
1/5/2012,0.5825
1/6/2012,0.5815
1/9/2012,0.5805
1/10/2012,0.5795
1/11/2012,0.5765
1/12/2012,0.5715
1/13/2012,0.567
1/16/2012,0.5649
1/17/2012,0.5623
1/18/2012,0.5612
1/19/2012,0.5612
1/20/2012,0.5611
1/23/2012,0.5601
1/24/2012,0.5591
1/25/2012,0.5566
1/26/2012,0.5531
1/27/2012,0.5511
1/30/2012,0.54685
1/31/2012,0.54235
2/1/2012,0.5371
2/2/2012,0.5306
2/3/2012,0.527
2/6/2012,0.52325
2/7/2012,0.52
2/8/2012,0.51325
2/9/2012,0.51
2/10/2012,0.506
2/13/2012,0.5026
2/14/2012,0.4976
2/15/2012,0.4951
2/16/2012,0.4931
2/17/2012,0.4931
2/20/2012,0.4931
2/21/2012,0.4926
2/22/2012,0.4916
2/23/2012,0.4906
2/24/2012,0.4906
2/27/2012,0.4891
2/28/2012,0.4875
2/29/2012,0.48425
3/1/2012,0.4797
3/2/2012,0.47575
3/5/2012,0.47455
3/6/2012,0.47455
3/7/2012,0.47455
3/8/2012,0.47355
3/9/2012,0.47355
3/12/2012,0.47355
3/13/2012,0.47365
3/14/2012,0.47365
3/15/2012,0.47365
3/16/2012,0.47365
3/19/2012,0.47365
3/20/2012,0.47415
